id,date,time,location,lat,lng,type,category,detail,cause,prevention
E-001,2026-01-10,07:30,文化パルク城陽前,34.856650,135.781960,重点警戒,速度取締,通学路区間,朝の通学時間帯に速度確認が多い,通学路では早めに減速して歩行者優先を徹底
E-002,2026-01-24,10:00,宇治橋西詰交差点,34.890830,135.806110,定点情報,一時停止,交差点手前,停止確認の見守りが行われやすい,停止線手前で完全停止し左右確認
E-003,2026-02-14,15:20,近鉄大久保駅前,34.874240,135.778200,重点警戒,携帯電話,駅前乗降場,停車と発進が多く端末操作が目立ちやすい,発進前に端末操作を終了
E-004,2026-02-28,18:10,京田辺駅ロータリー,34.821870,135.769980,定点情報,シートベルト,ロータリー出口,夕方に着用確認が行われやすい,出庫前と乗務交代時に着用確認
E-005,2026-03-09,09:45,久御山町役場付近,34.882150,135.732030,重点警戒,速度取締,幹線道路,直線区間で速度が上がりやすい,制限速度と社内基準速度を優先
E-006,2026-03-25,13:15,木津駅東口,34.735740,135.824660,定点情報,一時停止,駅東口交差点,歩行者と車両の交錯が多い,完全停止後に左右と歩道側を確認
E-007,2026-04-11,20:30,宇治田原町役場付近,34.852460,135.856770,重点警戒,携帯電話,夜間巡回区間,夜間の停車中操作が目立ちやすい,連絡は安全な場所で停車後に行う
E-008,2026-04-26,08:05,松井山手駅ロータリー,34.833190,135.727940,定点情報,シートベルト,駅前ロータリー,朝の出庫後確認が行われやすい,乗務開始前に着用状態を確認
E-009,2026-05-02,16:50,六地蔵駅周辺,34.932300,135.793700,重点警戒,速度取締,混雑緩和区間,夕方の流れで速度が変動しやすい,速度変化を早めに察知して一定走行
E-010,2026-05-12,11:10,新田辺駅西口,34.820780,135.766740,定点情報,一時停止,駅前交差点,歩行者優先確認が重視される,歩行者の動きを見てから発進
