id,date,time,location,lat,lng,type,category,detail,cause,prevention
P-001,2026-01-08,07:45,近鉄大久保駅前,34.874240,135.778200,無線配車,ヤサカ無線,駅前ロータリー,通勤時間帯の無線配車が多い,朝時間帯は待機場所と迎車動線を重点確認
P-002,2026-01-15,09:20,宇治徳洲会病院前,34.867650,135.786520,アプリ配車,GOアプリ,病院正面入口,診療開始前後のアプリ配車が多い,入口付近の安全な停車位置を共有
P-003,2026-01-26,18:35,宇治橋西詰交差点,34.890830,135.806110,アプリ配車,DiDi,交差点西側歩道,夕方のDiDi配車が発生しやすい,停車可能な場所を事前に確認
P-004,2026-02-03,13:10,城陽市役所付近,34.853460,135.780930,無線配車,ヤサカ無線,市役所正面玄関,公共施設からの無線依頼が多い,玄関位置と待機場所を乗務員間で共有
P-005,2026-02-14,21:05,京田辺駅ロータリー,34.821870,135.769980,アプリ配車,DiDi,駅ロータリー一般車側,夜間の帰宅需要が集中,夜間帯の迎車位置を共有
P-006,2026-02-27,10:40,木津駅東口,34.735740,135.824660,アプリ配車,GOアプリ,駅東口一般車スペース,アプリ指定地点の確認が必要,迎車位置の目印を共有
P-007,2026-03-05,16:15,文化パルク城陽前,34.856650,135.781960,アプリ配車,DiDi,施設前道路,イベント後のDiDi配車が増える,イベント終了時間に合わせて巡回
P-008,2026-03-22,11:55,久御山町役場付近,34.882150,135.732030,無線配車,ヤサカ無線,役場入口,午前中の手続き後利用が多い,入口付近での待ち合わせ表現を統一
P-009,2026-04-02,08:30,六地蔵駅周辺,34.932300,135.793700,無線配車,ヤサカ無線,駅北側ロータリー,朝の駅前無線需要が多い,乗車場所の安全確認を優先
P-010,2026-04-18,14:25,松井山手駅ロータリー,34.833190,135.727940,アプリ配車,GOアプリ,ロータリー一般車側,商業施設利用後のアプリ配車が多い,一般車との混在に注意
P-011,2026-05-01,19:20,新田辺駅西口,34.820780,135.766740,アプリ配車,DiDi,駅西口交差点付近,飲食店利用後のDiDi配車が多い,停車場所の安全確保を徹底
P-012,2026-05-10,12:05,宇治田原町役場付近,34.852460,135.856770,無線配車,ヤサカ無線,役場前ロータリー,昼前後の無線配車が多い,待ち合わせ位置を配車時に明確化
